Timestamp,Seg01X,Seg01Y,Seg02X,Seg02Y,Seg03X,Seg03Y,Seg04X,Seg04Y,Seg05X,Seg05Y,Seg06X,Seg06Y,Seg07X,Seg07Y,Seg08X,Seg08Y,Seg09X,Seg09Y,Seg010X,Seg010Y,Seg011X,Seg011Y,Seg012X,Seg012Y,Seg013X,Seg013Y,Seg014X,Seg014Y,Seg015X,Seg015Y
2025-04-10 13:13:24,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[0.6999092102050781, -0.39144662022590637]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:25,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0822733640670776, -0.2446121871471405]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:27,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:28,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0822733640670776, -0.2446121871471405]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[0.6999092102050781, -0.39144662022590637]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:29,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[0.6999092102050781, -0.39144662022590637]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:30,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[0.6999092102050781, -0.39144662022590637]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:31,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:32,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:33,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:34,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:36,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0822733640670776, -0.2446121871471405]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:36,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:37,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0822733640670776, -0.2446121871471405]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:38,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0822733640670776, -0.2446121871471405]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:39,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:40,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0822733640670776, -0.2446121871471405]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:41,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0822733640670776, -0.2446121871471405]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:42,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:43,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0822733640670776, -0.2446121871471405]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
2025-04-10 13:13:44,"[1.0934665203094482, 0.49482038617134094]","[1.1261944770812988, 0.4149727523326874]","[1.122578501701355, 0.3241659998893738]","[1.1134523153305054, 0.23640076816082]","[1.1275603771209717, 0.15578503906726837]","[1.1072018146514893, 0.07248897850513458]","[1.109548568725586, -0.007254011929035187]","[1.0789140462875366, -0.08481763303279877]","[1.070030927658081, -0.1621214598417282]","[1.0556162595748901, -0.23858724534511566]","[1.0108070373535156, -0.30626380443573]","[1.0105186700820923, -0.3874296545982361]","[1.43588387966156, -0.6725280284881592]","[1.3838493824005127, -0.7739620208740234]","[0.6827692985534668, -0.4491426646709442]"
